time,velocity,gamma,altitude
2.870000000000000000e+02,6.300045029537507162e+02,5.011401639931134966e+00,7.826307319081839523e+04
2.880000000000000000e+02,6.286894517832954534e+02,5.009440562105250017e+00,7.825564340641713352e+04
2.890000000000000000e+02,6.273901772648956694e+02,5.007420910822006022e+00,7.824759063360601431e+04
2.900000000000000000e+02,6.261071824593570909e+02,5.005342821171862688e+00,7.823888432658356032e+04
2.910000000000000000e+02,6.248410155730589395e+02,5.003206391047649859e+00,7.822949140354788688e+04
2.920000000000000000e+02,6.235922699579540449e+02,5.001011681144573728e+00,7.821937624669665820e+04
2.930000000000000000e+02,6.223615841115690728e+02,4.998758714960213290e+00,7.820850070222718932e+04
2.940000000000000000e+02,6.211496416770040696e+02,4.996447478794521224e+00,7.819682408033635875e+04
2.950000000000000000e+02,6.199571714429325766e+02,4.994077921749824789e+00,7.818430315522060846e+04
2.960000000000000000e+02,6.187849473436020844e+02,4.991649955730824040e+00,7.817089216507601668e+04
2.970000000000000000e+02,6.176337884588333509e+02,4.989163455444593609e+00,7.815654281209823966e+04
2.980000000000000000e+02,6.165045590140208560e+02,4.986618258400581816e+00,7.814120426248249714e+04
2.990000000000000000e+02,6.153981683801326881e+02,4.984014164910610667e+00,7.812482314642363053e+04
3.000000000000000000e+02,6.143155710737104300e+02,4.981350938088874969e+00,7.810734355811607384e+04
